Name,       Price,      Spread,     RollLong, RollShort,  PIP,      PIPCost,  MarginCost, Leverage, LotAmount, Commission, Symbol
ETH/BTC,    1,          0,          0,        0,          0.000001, 0.000001, 0,          1,        1,         -0.10,      ETH/BTC
BCH/BTC,    1,          0,          0,        0,          0.000001, 0.000001, 0,          1,        1,         -0.10,      BCH/BTC
DGD/BTC,    1,          0,          0,        0,          0.000001, 0.000001, 0,          1,        1,         -0.10,      DGD/BTC
EOS/BTC,    1,          0,          0,        0,          0.000001, 0.000001, 0,          1,        1,         -0.10,      EOS/BTC
GRS/BTC,    1,          0,          0,        0,          0.000001, 0.000001, 0,          1,        1,         -0.10,      GRS/BTC
IOT/BTC,    1,          0,          0,        0,          0.000001, 0.000001, 0,          1,        1,         -0.10,      IOT/BTC
LTC/BTC,    1,          0,          0,        0,          0.000001, 0.000001, 0,          1,        1,         -0.10,      LTC/BTC
NEO/BTC,    1,          0,          0,        0,          0.000001, 0.000001, 0,          1,        1,         -0.10,      NEO/BTC
STRAT/BTC,  1,          0,          0,        0,          0.000001, 0.000001, 0,          1,        1,         -0.10,      STRAT/BTC
TRX/BTC,    1,          0,          0,        0,          0.000001, 0.000001, 0,          1,        1,         -0.10,      TRX/BTC
XEM/BTC,    1,          0,          0,        0,          0.000001, 0.000001, 0,          1,        1,         -0.10,      XEM/BTC
XLM/BTC,    1,          0,          0,        0,          0.000001, 0.000001, 0,          1,        1,         -0.10,      XLM/BTC
XRP/BTC,    1,          0,          0,        0,          0.000001, 0.000001, 0,          1,        1,         -0.10,      XRP/BTC
