Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD/USD,0.77311,0.00005,0.24,-0.51,0.0001,0.0871,9,0,1000,0.6,AUD/USD
EUR/CHF,1.08467,0.00018,0.08,-0.5294,0.0001,0.0871,11,0,1000,0.8, 
EUR/USD,1.1014,0.00006,-1.03,0.34,0.0001,0.1,13,0,1000,0.6,EUR/USD
GBP/USD,1.51364,0.00003,0.05,-0.12,0.0001,0.0871,14,0,1000,0.6,GBP/USD
GER30,10884,1,-0.0918,0,1,0.1,60,0,1,0,GER30
NAS100,4185,2,0.0477,-0.09,1,0.0871,20,0,1,0,NAS100
SPX500,2032.4,0.5,0.3265,-0.5419,0.1,0.0871,80,0,1,0,SPX500
UK100,6869,2,-0.0883,0,1,0.13183,45,0,1,0,UK100
US30,17520,4,0.1271,-0.2948,1,0.0871,60,0,1,0,US30
USD/CAD,1.24466,0.0001,-0.21,0.09,0.0001,0.06998,10,0,1000,0.8,USD/CAD
USD/CHF,0.92203,0.00022,0.15,-0.58,0.0001,0.09446,10,0,1000,0.6,USD/CHF
USD/JPY,117.489,0.004,0.02,-0.04,0.01,0.07413,10,0,1000,0.6,USD/JPY
XAG/USD,17.5,0.046,-0.0009,0,0.01,0.456,90,0,50,0,XAG/USD
XAU/USD,1497.82,0.47,-0.0124,0,0.01,0.00914,75,0,1,0,XAU/USD
