Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol,AssetStr
AU200_AUD,0.902505,5.2,0.381875,-0.827396,0.1,0.068836500,229.886375400,20,1,0,AU200_AUD,"0","10"
CN50_USD,0.682045,17.5,0.116839,-0.895764,0.1,0.100000000,1402.065000000,10,1,0,CN50_USD,"10","20"
EU50_EUR,5.38351,2.5,0.868324,-1.251086,0.1,0.110759000,196.849201730,20,1,0,EU50_EUR,Equity Index
FR40_EUR,73.9405,1.2,1.868805,-2.479525,0.1,0.110759000,314.084834250,20,1,0,FR40_EUR,Equity Index
DE30_EUR,1.069925,4.5,-0.456524,-0.886194,0.1,0.110759000,690.540830380,20,1,0,DE30_EUR,Equity Index
HK33_HKD,0.947275,7,0.340547,-0.535145,0.1,0.012780606,350.276795980,10,1,0,HK33_HKD,Equity Index
IN50_USD,0.68671,19.5,-1.816602,1.200805,0.1,0.100000000,1108.435000000,10,1,0,IN50_USD,Equity Index
JP225_USD,0.755725,10,0.917444,-2.140702,0.1,0.100000000,1100.932500000,20,1,0,JP225_USD,Equity Index
NL25_EUR,5.96512,0.27,0.000000,-0.061995,0.001,0.001107590,63.766725280,10,1,0,NL25_EUR,Equity Index
SG30_SGD,81.929,0.5,-0.008220,-0.006725,0.01,0.007284037,26.901042710,10,1,0,SG30_SGD,Equity Index
TWIX_USD,1.049625,0.5,0.050494,-0.072935,0.1,0.100000000,40.395000000,10,1,0,TWIX_USD,Equity Index
UK100_GBP,7.893165,4,0.524168,-1.414745,0.1,0.124802000,458.010859800,20,1,0,UK100_GBP,Equity Index
NAS100_USD,108.4105,2.7,-0.657578,-0.114745,0.1,0.100000000,397.195000000,20,1,0,NAS100_USD,Equity Index
US2000_USD,14.802165,0.5,-0.088072,0.000000,0.001,0.001000000,158.529300000,10,1,0,US2000_USD,Equity Index
SPX500_USD,1.60297,0.5,-0.183744,-0.109911,0.1,0.100000000,151.022500000,20,1,0,SPX500_USD,Equity Index
US30_USD,1.4467,5.5,-1.243455,-1.410260,0.1,0.100000000,1364.767500000,20,1,0,US30_USD,Equity Index
DE10YB_EUR,1.09328,0.015,0.026988,-0.037784,0.001,0.001107590,38.863228680,5,1,0,DE10YB_EUR,Bond
UK10YB_GBP,25.86516,0.03,0.005969,-0.015152,0.001,0.001248020,33.059550590,5,1,0,UK10YB_GBP,Bond
USB10Y_USD,7.46037,0.041,-0.009656,0.002503,0.001,0.001000000,25.749000000,5,1,0,USB10Y_USD,Bond
USB02Y_USD,0.89169,0.014,-0.005660,-0.000298,0.001,0.001000000,21.446800000,5,1,0,USB02Y_USD,Bond
USB05Y_USD,8.629725,0.018,-0.007219,0.000656,0.001,0.001000000,23.626000000,5,1,0,USB05Y_USD,Bond
USB30Y_USD,331.97,0.073,0.004009,-0.012918,0.001,0.001000000,32.072900000,5,1,0,USB30Y_USD,Bond
BCO_USD,118.526,0.098,0.015469,-0.018832,0.001,0.001000000,6.053000000,10,1,0,BCO_USD,Energy
