Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUSTRALIA 200,0.902505,5.2,0.00,0.00,0.1,0.068836500,229.886375400,20,1,0,AU200_AUD
CHINA A50,0.682045,17.5,0.00,0.00,0.1,0.100000000,1402.065000000,10,1,0,CN50_USD
EUROPE 50,5.38351,2.5,0.00,0.00,0.1,0.110759000,196.849201730,20,1,0,EU50_EUR
FRANCE 40,73.9405,1.2,0.00,0.00,0.1,0.110759000,314.084834250,20,1,0,FR40_EUR
GERMANY 30,1.069925,4.5,0.00,0.00,0.1,0.110759000,690.540830380,20,1,0,DE30_EUR
HONG KONG 33,0.947275,7,0.00,0.00,0.1,0.012780606,350.276795980,10,1,0,HK33_HKD
INDIA 50,0.68671,19.5,0.00,0.00,0.1,0.100000000,1108.435000000,10,1,0,IN50_USD
JAPAN 225,0.755725,10,0.00,0.00,0.1,0.100000000,1100.932500000,20,1,0,JP225_USD
NETHERLANDS 25,5.96512,0.27,0.00,0.00,0.001,0.001107590,63.766725280,10,1,0,NL25_EUR
SINGAPORE 30,81.929,0.5,0.00,0.00,0.01,0.007284037,26.901042710,10,1,0,SG30_SGD
TAIWAN INDEX,1.049625,0.5,0.00,0.00,0.1,0.100000000,40.395000000,10,1,0,TWIX_USD
UK 100,7.893165,4,0.00,0.00,0.1,0.124802000,458.010859800,20,1,0,UK100_GBP
US NAS 100,108.4105,2.7,0.00,0.00,0.1,0.100000000,397.195000000,20,1,0,NAS100_USD
US RUSS 2000,14.802165,0.5,0.00,0.00,0.001,0.001000000,158.529300000,10,1,0,US2000_USD
US SPX 500,1.60297,0.5,0.00,0.00,0.1,0.100000000,151.022500000,20,1,0,SPX500_USD
US WALL ST 30,1.4467,5.5,0.00,0.00,0.1,0.100000000,1364.767500000,20,1,0,US30_USD
BUND,1.09328,0.015,0.00,0.00,0.001,0.001107590,38.863228680,5,1,0,DE10YB_EUR
UK 10Y GILT,25.86516,0.03,0.00,0.00,0.001,0.001248020,33.059550590,5,1,0,UK10YB_GBP
US 10Y T-NOTE,7.46037,0.041,0.00,0.00,0.001,0.001000000,25.749000000,5,1,0,USB10Y_USD
US 2Y T-NOTE,0.89169,0.014,0.00,0.00,0.001,0.001000000,21.446800000,5,1,0,USB02Y_USD
US 5Y T-NOTE,8.629725,0.018,0.00,0.00,0.001,0.001000000,23.626000000,5,1,0,USB05Y_USD
US T-BOND,331.97,0.073,0.00,0.00,0.001,0.001000000,32.072900000,5,1,0,USB30Y_USD
BRENT CRUDE OIL,118.526,0.098,0.00,0.00,0.001,0.001000000,6.053000000,10,1,0,BCO_USD
WEST TEXAS OIL,9.880765,0.113,0.00,0.00,0.001,0.001000000,5.505150000,10,1,0,WTICO_USD
NATURAL GAS,1.715105,0.012,0.00,0.00,0.001,0.001000000,0.257950000,10,1,0,NATGAS_USD
CORN,4.333185,0.01,0.00,0.00,0.001,0.001000000,0.360600000,10,1,0,CORN_USD
SOYBEANS,10.658175,0.017,0.00,0.00,0.001,0.001000000,0.884900000,10,1,0,SOYBN_USD
SUGAR,1.518505,0.00025,0.00,0.00,0.00001,0.000010000,0.010882500,10,1,0,SUGAR_USD
WHEAT,6.352265,0.01,0.00,0.00,0.001,0.001000000,0.485000000,10,1,0,WHEAT_USD
COPPER,1.10079,0.0015,0.00,0.00,0.00001,0.000010000,0.266209000,10,1,0,XCU_USD
PLATINUM,16.18343,1.5,0.00,0.00,0.001,0.001000000,95.602500000,10,1,0,XPT_USD
PALLADIUM,1.797615,1.5,0.00,0.00,0.001,0.001000000,160.820800000,10,1,0,XPD_USD
GOLD,1.62237,3.7,0.00,0.00,0.001,0.001000000,75.345250000,20,1,0,XAU_USD
SILVER,1.226055,0.05,0.00,0.00,0.00001,0.000010000,1.816859000,10,1,0,XAG_USD
GOLD/AUD,9.677555,7.064,0.00,0.00,0.001,0.000688365,75.445543990,20,1,0,XAU_AUD
GOLD/CAD,132.916,4.811,0.00,0.00,0.001,0.000753537,75.057664410,20,1,0,XAU_CAD
GOLD/CHF,1.92368,4.099,0.00,0.00,0.001,0.001009795,75.048545900,20,1,0,XAU_CHF
GOLD/EUR,4.859975,3.472,0.00,0.00,0.001,0.001107590,75.186088930,20,1,0,XAU_EUR
GOLD/GBP,1.70318,3.039,0.00,0.00,0.001,0.001248020,75.437442510,20,1,0,XAU_GBP
GOLD/HKD,1.234645,22.532,0.00,0.00,0.001,0.000127806,75.357192380,20,1,0,XAU_HKD
GOLD/JPY,18.152825,420,0.00,0.00,1,0.009247913,75.245647700,20,1,0,XAU_JPY
GOLD/NZD,13.73468,11.247,0.00,0.00,0.001,0.000638235,75.226206510,20,1,0,XAU_NZD
GOLD/SGD,0.84353,6.411,0.00,0.00,0.001,0.000728404,75.339199410,20,1,0,XAU_SGD
GOLD/SILVER,0.637455,0.428,0.00,0.00,0.001,0.017638190,73.146014880,20,1,0,XAU_XAG
SILVER/AUD,5.03157,0.09655,0.00,0.00,0.00001,0.000006884,1.819277110,10,1,0,XAG_AUD
SILVER/CAD,69.1085,0.08388,0.00,0.00,0.00001,0.000007535,1.809924830,10,1,0,XAG_CAD
SILVER/CHF,0.885365,0.06852,0.00,0.00,0.00001,0.000010098,1.809704130,10,1,0,XAG_CHF
SILVER/EUR,0.641815,0.05938,0.00,0.00,0.00001,0.000011076,1.813020160,10,1,0,XAG_EUR
