Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol,AssetStr,,
AU200_AUD,0.902505,5.2,0.381875,-0.827396,0.1,0.0688365,229.8863754,20,1,0,AU200_AUD,Equity,0,16
CN50_USD,0.682045,17.5,0.116839,-0.895764,0.1,0.1,1402.065,10,1,0,CN50_USD,Equity,1,17
EU50_EUR,5.38351,2.5,0.868324,-1.251086,0.1,0.110759,196.8492017,20,1,0,EU50_EUR,Equity,6,20
FR40_EUR,73.9405,1.2,1.868805,-2.479525,0.1,0.110759,314.0848343,20,1,0,FR40_EUR,Equity,7,20
DE30_EUR,1.069925,4.5,-0.456524,-0.886194,0.1,0.110759,690.5408304,20,1,0,DE30_EUR,Equity,6,20
HK33_HKD,0.947275,7,0.340547,-0.535145,0.1,0.012780606,350.276796,10,1,0,HK33_HKD,Equity,1,17
IN50_USD,0.68671,19.5,-1.816602,1.200805,0.1,0.1,1108.435,10,1,0,IN50_USD,Equity,6,20
JP225_USD,0.755725,10,0.917444,-2.140702,0.1,0.1,1100.9325,20,1,0,JP225_USD,Equity,1,17
NL25_EUR,5.96512,0.27,0,-0.061995,0.001,0.00110759,63.76672528,10,1,0,NL25_EUR,Equity,7,19
SG30_SGD,81.929,0.5,-0.00822,-0.006725,0.01,0.007284037,26.90104271,10,1,0,SG30_SGD,Equity,0,20
TWIX_USD,1.049625,0.5,0.050494,-0.072935,0.1,0.1,40.395,10,1,0,TWIX_USD,Equity,,
UK100_GBP,7.893165,4,0.524168,-1.414745,0.1,0.124802,458.0108598,20,1,0,UK100_GBP,Equity,,
NAS100_USD,108.4105,2.7,-0.657578,-0.114745,0.1,0.1,397.195,20,1,0,NAS100_USD,Equity,,
US2000_USD,14.802165,0.5,-0.088072,0,0.001,0.001,158.5293,10,1,0,US2000_USD,Equity,,
SPX500_USD,1.60297,0.5,-0.183744,-0.109911,0.1,0.1,151.0225,20,1,0,SPX500_USD,Equity,,
US30_USD,1.4467,5.5,-1.243455,-1.41026,0.1,0.1,1364.7675,20,1,0,US30_USD,Equity,,
DE10YB_EUR,1.09328,0.015,0.026988,-0.037784,0.001,0.00110759,38.86322868,5,1,0,DE10YB_EUR,Bond,,
UK10YB_GBP,25.86516,0.03,0.005969,-0.015152,0.001,0.00124802,33.05955059,5,1,0,UK10YB_GBP,Bond,,
USB10Y_USD,7.46037,0.041,-0.009656,0.002503,0.001,0.001,25.749,5,1,0,USB10Y_USD,Bond,,
USB02Y_USD,0.89169,0.014,-0.00566,-0.000298,0.001,0.001,21.4468,5,1,0,USB02Y_USD,Bond,,
USB05Y_USD,8.629725,0.018,-0.007219,0.000656,0.001,0.001,23.626,5,1,0,USB05Y_USD,Bond,,
USB30Y_USD,331.97,0.073,0.004009,-0.012918,0.001,0.001,32.0729,5,1,0,USB30Y_USD,Bond,,
