Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD_CAD,0.918560,0.000180000,0.0000,0.0000,0.00010,0.000076,0,20.000,1.00,0.000,AUD_CAD
AUD_CHF,0.681160,0.000240000,0.0000,0.0000,0.00010,0.000102,0,20.000,1.00,0.000,AUD_CHF
AUD_HKD,5.44249,0.00125000,0.0000,0.0000,0.00010,0.000013,0,20.000,1.00,0.000,AUD_HKD
AUD_JPY,74.61,0.0130000,0.0000,0.0000,0.01000,0.000094,0,20.000,1.00,0.000,AUD_JPY
AUD_NZD,1.04908,0.000250000,0.0000,0.0000,0.00010,0.000066,0,20.000,1.00,0.000,AUD_NZD
AUD_SGD,0.943610,0.000290000,0.0000,0.0000,0.00010,0.000074,0,20.000,1.00,0.000,AUD_SGD
AUD_USD,0.697150,0.000120000,0.0000,0.0000,0.00010,0.000100,0,20.000,1.00,0.000,AUD_USD
CAD_CHF,0.741570,0.000240000,0.0000,0.0000,0.00010,0.000102,0,30.030,1.00,0.000,CAD_CHF
CAD_HKD,5.92512,0.00115000,0.0000,0.0000,0.00010,0.000013,0,20.000,1.00,0.000,CAD_HKD
CAD_JPY,81.23,0.0150000,0.0000,0.0000,0.01000,0.000094,0,30.030,1.00,0.000,CAD_JPY
CAD_SGD,1.02728,0.000250000,0.0000,0.0000,0.00010,0.000074,0,20.000,1.00,0.000,CAD_SGD
CHF_HKD,7.99145,0.00185000,0.0001,0.0001,0.00010,0.000013,0,20.000,1.00,0.000,CHF_HKD
CHF_JPY,109.55,0.0180000,0.0001,0.0001,0.01000,0.000094,0,30.030,1.00,0.000,CHF_JPY
EUR_AUD,1.63323,0.000200000,0.0001,0.0001,0.00010,0.000070,0,20.000,1.00,0.000,EUR_AUD
EUR_CAD,1.50017,0.000230000,0.0001,0.0001,0.00010,0.000076,0,30.030,1.00,0.000,EUR_CAD
EUR_CHF,1.11230,0.000150000,0.0001,0.0001,0.00010,0.000102,0,30.030,1.00,0.000,EUR_CHF
EUR_GBP,0.893420,0.000150000,0.0001,0.0001,0.00010,0.000127,0,30.030,1.00,0.000,EUR_GBP
EUR_HKD,8.88751,0.000700000,0.0001,0.0001,0.00010,0.000013,0,20.000,1.00,0.000,EUR_HKD
EUR_JPY,121.85,0.0160000,0.0001,0.0001,0.01000,0.000094,0,30.030,1.00,0.000,EUR_JPY
EUR_NZD,1.71313,0.000280000,0.0001,0.0001,0.00010,0.000066,0,20.000,1.00,0.000,EUR_NZD
EUR_SGD,1.54101,0.000400000,0.0001,0.0001,0.00010,0.000074,0,20.000,1.00,0.000,EUR_SGD
EUR_USD,1.13849,0.000130000,0.0001,0.0001,0.00010,0.000100,0,30.030,1.00,0.000,EUR_USD
GBP_AUD,1.82816,0.000270000,0.0001,0.0001,0.00010,0.000070,0,20.000,1.00,0.000,GBP_AUD
GBP_CAD,1.67922,0.000260000,0.0001,0.0001,0.00010,0.000076,0,30.030,1.00,0.000,GBP_CAD
GBP_CHF,1.24511,0.000230000,0.0001,0.0001,0.00010,0.000102,0,30.030,1.00,0.000,GBP_CHF
GBP_HKD,9.94901,0.00189000,0.0001,0.0001,0.00010,0.000013,0,20.000,1.00,0.000,GBP_HKD
GBP_JPY,136.39,0.0240000,0.0001,0.0001,0.01000,0.000094,0,30.030,1.00,0.000,GBP_JPY
GBP_NZD,1.91750,0.000360000,0.0001,0.0001,0.00010,0.000067,0,20.000,1.00,0.000,GBP_NZD
GBP_SGD,1.72495,0.000460000,0.0001,0.0001,0.00010,0.000074,0,20.000,1.00,0.000,GBP_SGD
GBP_USD,1.27441,0.000170000,0.0001,0.0001,0.00010,0.000100,0,30.030,1.00,0.000,GBP_USD
HKD_JPY,13.71,0.00231000,0.0000,0.0000,0.00010,0.000001,0,20.000,1.00,0.000,HKD_JPY
NZD_CAD,0.875840,0.000210000,0.0000,0.0000,0.00010,0.000076,0,20.000,1.00,0.000,NZD_CAD
NZD_CHF,0.649430,0.000260000,0.0000,0.0000,0.00010,0.000102,0,20.000,1.00,0.000,NZD_CHF
NZD_HKD,5.18939,0.00147000,0.0000,0.0000,0.00010,0.000013,0,20.000,1.00,0.000,NZD_HKD
NZD_JPY,71.14,0.0160000,0.0000,0.0000,0.01000,0.000094,0,20.000,1.00,0.000,NZD_JPY
NZD_SGD,0.899730,0.000330000,0.0000,0.0000,0.00010,0.000074,0,20.000,1.00,0.000,NZD_SGD
NZD_USD,0.664730,0.000150000,0.0000,0.0000,0.00010,0.000100,0,20.000,1.00,0.000,NZD_USD
SGD_CHF,0.721920,0.000200000,0.0000,0.0000,0.00010,0.000102,0,20.000,1.00,0.000,SGD_CHF
SGD_HKD,5.76847,0.00110000,0.0000,0.0000,0.00010,0.000013,0,20.000,1.00,0.000,SGD_HKD
SGD_JPY,79.08,0.0200000,0.0000,0.0000,0.01000,0.000094,0,20.000,1.00,0.000,SGD_JPY
USD_CAD,1.31774,0.000170000,0.0001,0.0001,0.00010,0.000076,0,30.030,1.00,0.000,USD_CAD
USD_CHF,0.977010,0.000140000,0.0001,0.0001,0.00010,0.000102,0,30.030,1.00,0.000,USD_CHF
USD_HKD,7.80676,0.000440000,0.0001,0.0001,0.00010,0.000013,0,20.000,1.00,0.000,USD_HKD
USD_JPY,107.03,0.0120000,0.0001,0.0001,0.01000,0.000094,0,30.030,1.00,0.000,USD_JPY
USD_SGD,1.35353,0.000180000,0.0001,0.0001,0.00010,0.000074,0,20.000,1.00,0.000,USD_SGD
XAG_AUD,22.15,0.0259700,0.0000,0.0000,0.00010,0.000070,0,10.000,1.00,0.000,XAG_AUD
XAG_CAD,20.35,0.0223900,0.0000,0.0000,0.00010,0.000076,0,10.000,1.00,0.000,XAG_CAD
XAG_CHF,15.09,0.0168200,0.0000,0.0000,0.00010,0.000102,0,10.000,1.00,0.000,XAG_CHF
XAG_EUR,13.56,0.0146100,0.0000,0.0000,0.00010,0.000114,0,10.000,1.00,0.000,XAG_EUR
XAG_GBP,12.12,0.0133900,0.0000,0.0000,0.00010,0.000127,0,10.000,1.00,0.000,XAG_GBP
XAG_HKD,120.56,0.123900,0.0000,0.0000,0.00010,0.000013,0,10.000,1.00,0.000,XAG_HKD
XAG_JPY,1652.80,1.90000,0.0000,0.0000,1.00000,0.009346,0,10.000,1.00,0.000,XAG_JPY
XAG_NZD,23.24,0.0278100,0.0000,0.0000,0.00010,0.000067,0,10.000,1.00,0.000,XAG_NZD
XAG_SGD,20.90,0.0230900,0.0000,0.0000,0.00010,0.000074,0,10.000,1.00,0.000,XAG_SGD
XAG_USD,15.44,0.0150000,0.0000,0.0000,0.00010,0.000100,0,10.000,1.00,0.000,XAG_USD
XAU_AUD,2050.85,0.824000,0.0000,0.0000,0.01000,0.006969,0,20.000,1.00,0.000,XAU_AUD
XAU_CAD,1883.69,0.622000,0.0000,0.0000,0.01000,0.007590,0,20.000,1.00,0.000,XAU_CAD
XAU_CHF,1396.56,0.467000,0.0000,0.0000,0.01000,0.010237,0,20.000,1.00,0.000,XAU_CHF
XAU_EUR,1255.67,0.385000,0.0000,0.0000,0.01000,0.011383,0,20.000,1.00,0.000,XAU_EUR
XAU_GBP,1121.83,0.375000,0.0000,0.0000,0.01000,0.012740,0,20.000,1.00,0.000,XAU_GBP
XAU_HKD,11159.64,2.87000,0.0000,0.0000,0.01000,0.001281,0,20.000,1.00,0.000,XAU_HKD
XAU_JPY,152992.00,48.00,0.0000,0.0000,10.00000,0.093459,0,20.000,1.00,0.000,XAU_JPY
XAU_NZD,2150.96,0.918000,0.0000,0.0000,0.01000,0.006646,0,20.000,1.00,0.000,XAU_NZD
XAU_SGD,1934.85,0.646000,0.0000,0.0000,0.01000,0.007389,0,20.000,1.00,0.000,XAU_SGD
XAU_USD,1429.12,0.01000000,0.0000,0.0000,0.01000,0.010000,0,20.000,1.00,0.000,XAU_USD
XAU_XAG,92.66,0.119000,0.0000,0.0000,0.01000,0.154286,0,20.000,1.00,0.000,XAU_XAG
SPX500_USD,1,0,0,0,0.01,0.01,0,1,1,0,SPX500_USD
