Date,PnL
2015-01-12,6.28
2015-01-13,2133.67
2015-01-14,9533.57
2015-01-15,1285.85
2015-01-16,936.51
2015-01-18,1010.36
2015-01-19,1115.14
2015-01-20,762.20
2015-01-21,1267.52
2015-01-22,1567.30
2015-01-23,821.51
2015-01-25,1495.03
2015-01-26,1228.50
2015-01-27,578.58
2015-01-28,1894.30
2015-01-29,1694.55
2015-01-30,2221.73
2015-02-01,3007.51
2015-02-02,1051.37
2015-02-03,-506.23
2015-02-04,-462.61
2015-02-05,281.65
2015-02-06,-749.66
2015-02-08,-1021.82
2015-02-09,-1089.00
2015-02-10,-1237.74
2015-02-11,-1607.47
2015-02-12,-1708.96
2015-02-13,-1014.09
2015-02-15,-1371.69
2015-02-16,-897.61
2015-02-17,146.06
2015-02-18,-1785.34
2015-02-19,-2082.50
2015-02-20,-1985.92
2015-02-22,-2751.04
2015-02-23,-2914.89
2015-02-24,-2915.26
2015-02-25,-3082.92
2015-02-26,-3015.30
2015-02-27,-4476.72
2015-03-01,-4337.28
2015-03-02,-2668.45
2015-03-03,-1284.95
2015-03-04,-3336.40
2015-03-05,-3553.48
2015-03-06,-3642.07
2015-03-08,-3457.96
2015-03-09,-2448.47
2015-03-10,-1805.92
2015-03-11,-923.65
2015-03-12,-1164.29
2015-03-13,-2205.56
2015-03-15,-2187.71
2015-03-16,-2397.57
2015-03-17,-2192.12
2015-03-18,539.27
2015-03-19,-264.60
2015-03-20,-51.17
2015-03-22,-1788.33
2015-03-23,-1598.17
2015-03-24,-1087.52
2015-03-25,-1093.27
2015-03-26,-1713.84
2015-03-27,-1827.04
2015-03-29,-1552.96
2015-03-30,-1898.87
2015-03-31,-2099.10
2015-04-01,-2405.75
2015-04-02,-2248.83
2015-04-03,-2081.93
2015-04-05,-1042.58
2015-04-06,-1893.93
2015-04-07,-2265.57
2015-04-08,-1417.19
2015-04-09,-1229.52
2015-04-10,762.07
2015-04-12,282.06
2015-04-13,3991.68
2015-04-14,6984.33
2015-04-15,4553.86
2015-04-16,3401.81
2015-04-17,2756.62
2015-04-19,2795.99
2015-04-20,2603.01
2015-04-21,3763.14
2015-04-22,3388.25
2015-04-23,3828.01
2015-04-24,2803.90
2015-04-26,3538.25
2015-04-27,2721.51
2015-04-28,2716.83
2015-04-29,2564.89
2015-04-30,3411.06
2015-05-01,2924.41
2015-05-03,3768.65
2015-05-04,3224.52
2015-05-05,2687.84
2015-05-06,3528.60
2015-05-07,2157.91
2015-05-08,2776.02
2015-05-10,2316.65
2015-05-11,2459.11
2015-05-12,2532.80
2015-05-13,1143.05
2015-05-14,1328.18
2015-05-15,1238.58
2015-05-17,1356.18
2015-05-18,1931.40
2015-05-19,2209.15
2015-05-20,1547.25
2015-05-21,1735.09
2015-05-22,2566.87
2015-05-24,2584.96
2015-05-25,1564.07
2015-05-26,1583.81
2015-05-27,1537.00
2015-05-28,1488.47
2015-05-29,1404.72
2015-05-31,1648.84
2015-06-01,2276.93
2015-06-02,1859.00
2015-06-03,1786.89
2015-06-04,2031.90
2015-06-05,1891.37
2015-06-07,2128.52
2015-06-08,1822.30
2015-06-09,1933.61
2015-06-10,1761.34
2015-06-11,1712.39
2015-06-12,1832.49
2015-06-14,1977.39
2015-06-15,2727.18
2015-06-16,6158.41
2015-06-17,5059.24
2015-06-18,4894.74
2015-06-19,4878.04
2015-06-21,4938.04
2015-06-22,4726.38
2015-06-23,4641.79
2015-06-24,4946.15
2015-06-25,4743.04
2015-06-26,4852.84
2015-06-28,3218.81
2015-06-29,3551.78
2015-06-30,4139.43
2015-07-01,3101.31
2015-07-02,3147.43
2015-07-03,3011.13
2015-07-05,979.29
2015-07-06,1042.84
2015-07-07,814.39
2015-07-08,438.32
2015-07-09,405.39
2015-07-10,2562.33
2015-07-12,4788.88
2015-07-13,2247.77
2015-07-14,2179.57
2015-07-15,2071.75
2015-07-16,2377.47
2015-07-17,2186.93
2015-07-19,2594.61
2015-07-20,2279.78
2015-07-21,1923.30
2015-07-22,1854.09
2015-07-23,1805.42
2015-07-24,1373.93
2015-07-26,1540.18
2015-07-27,1825.66
2015-07-28,1634.09
2015-07-29,1057.15
2015-07-30,1246.20
2015-07-31,1475.25
2015-08-02,1907.08
2015-08-03,1868.62
2015-08-04,1398.14
2015-08-05,1304.11
2015-08-06,1576.25
2015-08-07,1413.91
2015-08-09,1411.54
2015-08-10,1531.42
2015-08-11,771.36
2015-08-12,917.69
2015-08-13,771.51
2015-08-14,608.05
2015-08-16,624.45
2015-08-17,687.51
2015-08-18,1713.30
2015-08-19,6893.27
2015-08-20,3958.57
2015-08-21,4112.21
2015-08-23,4258.56
2015-08-24,5500.36
2015-08-25,3707.67
2015-08-26,3700.14
2015-08-27,3691.25
2015-08-28,3693.18
2015-08-30,3465.21
2015-08-31,3613.67
2015-09-01,3445.17
2015-09-02,3378.20
2015-09-03,3320.80
2015-09-04,3203.23
2015-09-06,3688.91
2015-09-07,3759.97
2015-09-08,4183.98
2015-09-09,3221.11
2015-09-10,3226.86
2015-09-11,3030.05
2015-09-13,2434.21
2015-09-14,2425.32
2015-09-15,2498.51
2015-09-16,2838.72
2015-09-17,1213.25
2015-09-18,1166.92
2015-09-20,762.28
2015-09-21,958.76
2015-09-22,604.29
2015-09-23,530.18
2015-09-24,1245.65
2015-09-25,1848.53
2015-09-27,838.21
2015-09-28,2511.63
2015-09-29,2151.19
2015-09-30,1268.12
2015-10-01,1065.80
2015-10-02,1024.74
2015-10-04,1011.94
2015-10-05,1097.49
2015-10-06,1744.91
2015-10-07,1271.59
2015-10-08,1332.88
2015-10-09,1172.00
2015-10-11,1224.31
2015-10-12,1163.40
2015-10-13,819.74
2015-10-14,1384.71
2015-10-15,1427.98
2015-10-16,3960.89
2015-10-18,3402.88
2015-10-19,3938.63
2015-10-20,6227.86
2015-10-21,5470.74
2015-10-22,8108.71
2015-10-23,10043.91
2015-10-25,15859.27
2015-10-26,14879.59
2015-10-27,20507.93
2015-10-28,26514.81
2015-10-29,35480.91
2015-10-30,46268.97
