Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Roll,ExitType
BITCOIN,Short,BTCUSD,8201,7,2015-01-12 12:00,2015-01-15 15:00,268.32,213.80,+382,0.00,Reverse
BITCOIN,Short,BTCUSD,8401,7,2015-01-12 14:00,2015-01-15 15:00,268.69,213.80,+384,0.00,Reverse
BITCOIN,Short,BTCUSD,8501,7,2015-01-12 15:00,2015-01-15 15:00,271.82,213.80,+406,0.00,Reverse
BITCOIN,Short,BTCUSD,9901,8,2015-01-13 05:00,2015-01-15 15:00,248.04,213.80,+274,0.00,Reverse
BITCOIN,Short,BTCUSD,10101,8,2015-01-13 07:00,2015-01-15 15:00,248.50,213.80,+278,0.00,Reverse
BITCOIN,Short,BTCUSD,10301,8,2015-01-13 09:00,2015-01-15 15:00,245.26,213.80,+252,0.00,Reverse
BITCOIN,Short,BTCUSD,10701,9,2015-01-13 13:00,2015-01-15 15:00,227.72,213.80,+125,0.00,Reverse
BITCOIN,Short,BTCUSD,10801,9,2015-01-13 14:00,2015-01-15 15:00,233.00,213.80,+173,0.00,Reverse
BITCOIN,Short,BTCUSD,11001,9,2015-01-13 16:00,2015-01-15 15:00,232.34,213.80,+167,0.00,Reverse
BITCOIN,Short,BTCUSD,11201,9,2015-01-13 18:00,2015-01-15 15:00,229.78,213.80,+144,0.00,Reverse
BITCOIN,Short,BTCUSD,11301,9,2015-01-13 19:00,2015-01-15 15:00,233.44,213.80,+177,0.00,Reverse
BITCOIN,Short,BTCUSD,11401,8,2015-01-13 20:00,2015-01-15 15:00,237.35,213.80,+188,0.00,Reverse
BITCOIN,Short,BTCUSD,11801,9,2015-01-14 00:00,2015-01-15 15:00,225.02,213.80,+101,0.00,Reverse
BITCOIN,Short,BTCUSD,12101,9,2015-01-14 03:00,2015-01-15 15:00,221.12,213.80,+65.89,0.00,Reverse
BITCOIN,Short,BTCUSD,12701,10,2015-01-14 09:00,2015-01-15 15:00,202.03,213.80,-118,0.00,Reverse
BITCOIN,Short,BTCUSD,12801,10,2015-01-14 10:00,2015-01-15 15:00,205.13,213.80,-86.65,0.00,Reverse
BITCOIN,Short,BTCUSD,13101,10,2015-01-14 13:00,2015-01-15 15:00,194.80,213.80,-190,0.00,Reverse
BITCOIN,Short,BTCUSD,13201,10,2015-01-14 14:00,2015-01-15 15:00,204.00,213.80,-97.93,0.00,Reverse
BITCOIN,Short,BTCUSD,13701,11,2015-01-14 19:00,2015-01-15 15:00,181.25,213.80,-358,0.00,Reverse
BITCOIN,Short,BTCUSD,13801,11,2015-01-14 20:00,2015-01-15 15:00,181.80,213.80,-352,0.00,Reverse
BITCOIN,Short,BTCUSD,14301,11,2015-01-15 01:00,2015-01-15 15:00,184.53,213.80,-322,0.00,Reverse
BITCOIN,Short,BTCUSD,14401,10,2015-01-15 02:00,2015-01-15 15:00,192.86,213.80,-209,0.00,Reverse
BITCOIN,Long,BTCUSD,15701,9,2015-01-15 15:00,2015-01-16 19:00,213.80,208.28,-49.69,0.00,Reverse
BITCOIN,Long,BTCUSD,15901,9,2015-01-15 17:00,2015-01-16 19:00,214.89,208.28,-59.51,0.00,Reverse
BITCOIN,Long,BTCUSD,16201,10,2015-01-15 20:00,2015-01-16 19:00,208.91,208.28,-6.35,0.00,Reverse
